GROUP,PARAMETER,DEFINITION,VALUE,UNITS,CAL_MIN,CAL_MAX
SoilParameter,POROSITY,SIL-high-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-low-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-low-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-low-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-mod-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-mod-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-mod-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-mod-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-mod-shallow_B,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-mod-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-low-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-low-shallow_B,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-low-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-low-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-low-shallow_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-low-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,URBAN_A,_DEFAULT,none,,
SoilParameter,POROSITY,URBAN_B,_DEFAULT,none,,
SoilParameter,POROSITY,URBAN_C,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-low-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-low-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-low-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-deep_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-deep_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-deep_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-deep_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-deep_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-deep_C,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-high-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-high-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-high-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-mod-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-mod-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-mod-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-low-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-low-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-low-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-low-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-low-shallow_B,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-low-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-high-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-high-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,CLA-high-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-0_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-0_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-0_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-0_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-0_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-0_C,_DEFAULT,none,,
SoilParameter,POROSITY,MARL_A,_DEFAULT,none,,
SoilParameter,POROSITY,MARL_B,_DEFAULT,none,,
SoilParameter,POROSITY,MARL_C,_DEFAULT,none,,
SoilParameter,POROSITY,GRAVEL_PIT_A,_DEFAULT,none,,
SoilParameter,POROSITY,GRAVEL_PIT_B,_DEFAULT,none,,
SoilParameter,POROSITY,GRAVEL_PIT_C,_DEFAULT,none,,
SoilParameter,POROSITY,DIKE_A,_DEFAULT,none,,
SoilParameter,POROSITY,DIKE_B,_DEFAULT,none,,
SoilParameter,POROSITY,DIKE_C,_DEFAULT,none,,
SoilParameter,POROSITY,CUT_FILL_A,_DEFAULT,none,,
SoilParameter,POROSITY,CUT_FILL_B,_DEFAULT,none,,
SoilParameter,POROSITY,CUT_FILL_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,[DEFAULT],0.2060351,none,0.1,0.9
SoilParameter,ALBEDO_DRY,SIL-mod-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-mod-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-mod-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-high-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-high-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-high-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-low-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-low-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-low-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-mod-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-mod-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-mod-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-mod-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-mod-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-mod-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-low-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-low-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-low-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-low-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-low-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-low-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,URBAN_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,URBAN_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,URBAN_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-low-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-low-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-low-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-deep_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-deep_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-deep_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-deep_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-deep_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-deep_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-high-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-high-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SIL-high-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-mod-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-mod-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-mod-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-low-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-low-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-low-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-low-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-low-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-low-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-high-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-high-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CLA-high-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-0_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-0_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-mod-0_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-0_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-0_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,SAN-high-0_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,MARL_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,MARL_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,MARL_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,GRAVEL_PIT_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,GRAVEL_PIT_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,GRAVEL_PIT_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,DIKE_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,DIKE_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,DIKE_C,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CUT_FILL_A,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CUT_FILL_B,_DEFAULT,none,,
SoilParameter,ALBEDO_DRY,CUT_FILL_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,[DEFAULT],0.4324836,none,0.1,0.9
SoilParameter,ALBEDO_WET,SIL-mod-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-mod-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-mod-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-high-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-high-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-high-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-low-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-low-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-low-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-mod-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-mod-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-mod-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-mod-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-mod-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-mod-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-low-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-low-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-low-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-low-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-low-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-low-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,URBAN_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,URBAN_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,URBAN_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-low-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-low-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-low-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-deep_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-deep_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-deep_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-deep_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-deep_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-deep_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-high-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-high-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SIL-high-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-mod-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-mod-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-mod-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-low-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-low-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-low-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-low-shallow_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-low-shallow_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-low-shallow_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-high-medium_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-high-medium_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CLA-high-medium_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-0_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-0_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-mod-0_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-0_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-0_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,SAN-high-0_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,MARL_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,MARL_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,MARL_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,GRAVEL_PIT_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,GRAVEL_PIT_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,GRAVEL_PIT_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,DIKE_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,DIKE_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,DIKE_C,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CUT_FILL_A,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CUT_FILL_B,_DEFAULT,none,,
SoilParameter,ALBEDO_WET,CUT_FILL_C,_DEFAULT,none,,
VegetationParameter,RAIN_ICEPT_FACT,NO_DATA,0,none,,
VegetationParameter,RAIN_ICEPT_FACT,SHADOW,0,none,,
VegetationParameter,RAIN_ICEPT_FACT,WATER,0,none,,
VegetationParameter,RAIN_ICEPT_FACT,NON_VEGETATED,0,none,,
VegetationParameter,RAIN_ICEPT_FACT,SNOW_ICE,0,none,,
VegetationParameter,RAIN_ICEPT_FACT,GRASS,0.8498024,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,SHRUBLAND,0.355971,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,WETLAND,0.5446981,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,AGRICULTURE,0.3344153,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,FORESTED,0.4372647,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,CONIFEROUS,0.5202597,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,CONIFEROUS_DENSE,0.2513567,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,CONIFEROUS_OPEN,0.8347972,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,BROADLEAF,0.04477433,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,BROADLEAF_DENSE,0.02554845,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,BROADLEAF_OPEN,0.3260989,none,0,1
VegetationParameter,RAIN_ICEPT_FACT,LAKE,0,none,,
VegetationParameter,SNOW_ICEPT_FACT,NO_DATA,0,none,,
VegetationParameter,SNOW_ICEPT_FACT,SHADOW,0,none,,
VegetationParameter,SNOW_ICEPT_FACT,WATER,0,none,,
VegetationParameter,SNOW_ICEPT_FACT,NON_VEGETATED,0,none,,
VegetationParameter,SNOW_ICEPT_FACT,SNOW_ICE,0,none,,
VegetationParameter,SNOW_ICEPT_FACT,GRASS,0.8292926,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,SHRUBLAND,0.6084781,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,WETLAND,0.9764375,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,AGRICULTURE,0.382183,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,FORESTED,0.6849699,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,CONIFEROUS,0.05104253,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,CONIFEROUS_DENSE,0.3913753,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,CONIFEROUS_OPEN,0.05930484,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,BROADLEAF,0.6847509,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,BROADLEAF_DENSE,0.9629773,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,BROADLEAF_OPEN,0.1848627,none,0,1
VegetationParameter,SNOW_ICEPT_FACT,LAKE,0,none,,
VegetationParameter,ALBEDO,NO_DATA,0,none,,
VegetationParameter,ALBEDO,SHADOW,0,none,,
VegetationParameter,ALBEDO,WATER,0.1312121,none,0.05,0.15
VegetationParameter,ALBEDO,NON_VEGETATED,0.1364508,none,0.1,0.2
VegetationParameter,ALBEDO,SNOW_ICE,0.8867112,none,0.8,1
VegetationParameter,ALBEDO,GRASS,0.2156131,none,0.2,0.35
VegetationParameter,ALBEDO,SHRUBLAND,0.1726044,none,0.1,0.2
VegetationParameter,ALBEDO,WETLAND,0.07260875,none,0.05,0.1
VegetationParameter,ALBEDO,AGRICULTURE,0.3317649,none,0.2,0.35
VegetationParameter,ALBEDO,FORESTED,0.157706,none,0.08,0.2
VegetationParameter,ALBEDO,CONIFEROUS,0.09803912,none,0.08,0.15
VegetationParameter,ALBEDO,CONIFEROUS_DENSE,0.1125676,none,0.08,0.15
VegetationParameter,ALBEDO,CONIFEROUS_OPEN,0.1328064,none,0.08,0.15
VegetationParameter,ALBEDO,BROADLEAF,0.1303378,none,0.1,0.2
VegetationParameter,ALBEDO,BROADLEAF_DENSE,0.1915739,none,0.1,0.2
VegetationParameter,ALBEDO,BROADLEAF_OPEN,0.1505605,none,0.1,0.2
VegetationParameter,ALBEDO,LAKE,0.05604502,none,0.05,0.15
